site_code,collection_date,lowest_taxon,RR_biomass_com,RR_biomass_fam,RR_biomass_spe,LRR_biomass_com,LRR_biomass_fam,LRR_biomass_spe,RR_density_com,RR_density_fam,RR_density_spe,LRR_density_com,LRR_density_fam,LRR_density_spe,RR_shannon,RR_simpson,RR_richness,LRR_shannon,LRR_simpson,LRR_richness,RR_ctrdist,LRR_ctrdist
AR,2017-09-16,C. lutrensis,-0.4809715075572076,23.911180404598557,23.911180404598557,-0.7319472464786893,-0.7319472464786893,3.1743461489090463,0.16948865273469943,10.994502748625688,10.994502748625688,-1.7749692999205808,-1.7749692999205808,2.3973953977567195,-0.26561820354503907,-0.24608746105566723,-0.29997000299970006,-1.3256953262847704,-1.3256953262847704,-1.2040727993262692,10.62666386034792,2.363366301171177
AR,2017-09-16,G. affinis,-0.4809715075572076,-0.4691579672478111,-0.4691579672478111,-0.7319472464786893,-0.7319472464786893,-0.7568157500865116,0.16948865273469943,-0.33327778703549404,-0.33327778703549404,-1.7749692999205808,-1.7749692999205808,-1.0987789414474307,-0.26561820354503907,-0.24608746105566723,-0.29997000299970006,-1.3256953262847704,-1.3256953262847704,-1.2040727993262692,10.62666386034792,2.363366301171177
AR,2017-09-16,H. cyanoguttatum,-0.4809715075572076,-0.7403836807506716,-0.7403836807506716,-0.7319472464786893,-0.7319472464786893,-0.30058673965121485,0.16948865273469943,1.1997600479904018,1.1997600479904018,-1.7749692999205808,-1.7749692999205808,0.18212157679128826,-0.26561820354503907,-0.24608746105566723,-0.29997000299970006,-1.3256953262847704,-1.3256953262847704,-1.2040727993262692,10.62666386034792,2.363366301171177
AR,2017-09-16,I. punctatus,-0.4809715075572076,-0.45809020796219113,-0.45809020796219113,-0.7319472464786893,-0.7319472464786893,-0.7806891536460099,0.16948865273469943,0.9990009990009991,0.9990009990009991,-1.7749692999205808,-1.7749692999205808,-9.99500333083388e-4,-0.26561820354503907,-0.24608746105566723,-0.29997000299970006,-1.3256953262847704,-1.3256953262847704,-1.2040727993262692,10.62666386034792,2.363366301171177
AR,2017-09-16,L. auritus,-0.7396382330033056,-0.5684321544758623,-0.09511506542931983,-0.3015940866417902,-0.3015940866417902,-2.352667905265304,-0.35080315104562193,-0.5167696051266613,-0.4999375078115236,-1.0475300360682882,-1.0475300360682882,-0.6932721727480963,-0.26561820354503907,-0.24608746105566723,-0.29997000299970006,-1.3256953262847704,-1.3256953262847704,-1.2040727993262692,10.62666386034792,2.363366301171177
AR,2017-09-16,L. cyanellus,-0.4809715075572076,-0.02739495547433891,2.102689634293899,-0.7319472464786893,-0.7319472464786893,0.7432173034677779,0.16948865273469943,-0.3636280993613782,-0.8570816370259268,-1.7749692999205808,-1.7749692999205808,-0.1542221058477879,-0.26561820354503907,-0.24608746105566723,-0.29997000299970006,-1.3256953262847704,-1.3256953262847704,-1.2040727993262692,10.62666386034792,2.363366301171177
AR,2017-09-16,L. macrochirus,-0.4809715075572076,-0.02739495547433891,-0.36831526247645585,-0.7319472464786893,-0.7319472464786893,-0.9988160160518248,0.16948865273469943,-0.3636280993613782,0.2222098772290428,-1.7749692999205808,-1.7749692999205808,-1.504132950788677,-0.26561820354503907,-0.24608746105566723,-0.29997000299970006,-1.3256953262847704,-1.3256953262847704,-1.2040727993262692,10.62666386034792,2.363366301171177
AR,2017-11-01,C. lutrensis,2.897973937887045,0.5806494387541175,0.5806494387541175,1.0640118507203864,1.0640118507203864,-0.5436080798729136,0.4999963235564444,1.0232320178600498,1.0232320178600498,-0.6931545334740891,-0.6931545334740891,0.022966262681157534,-0.06110420291273363,-0.14537625235035823,0.1249843769528809,-2.795174627727886,-2.795174627727886,-2.079566533867987,4.29434810612728,1.4572997642022583
AR,2017-11-01,G. affinis,2.897973937887045,21.374349916084782,21.374349916084782,1.0640118507203864,1.0640118507203864,3.0621916010777475,0.4999963235564444,13.986013986013987,13.986013986013987,-0.6931545334740891,-0.6931545334740891,2.6380578292821752,-0.06110420291273363,-0.14537625235035823,0.1249843769528809,-2.795174627727886,-2.795174627727886,-2.079566533867987,4.29434810612728,1.4572997642022583
AR,2017-11-01,H. cyanoguttatum,2.897973937887045,-0.6812981561695887,-0.6812981561695887,1.0640118507203864,1.0640118507203864,-0.3837552475475995,0.4999963235564444,2.3330741028774584,2.3330741028774584,-0.6931545334740891,-0.6931545334740891,0.847186755448475,-0.06110420291273363,-0.14537625235035823,0.1249843769528809,-2.795174627727886,-2.795174627727886,-2.079566533867987,4.29434810612728,1.4572997642022583
AR,2017-11-01,L. auritus,2.262803396041221,0.9191406802784508,-0.2504629971520563,0.8166044852994289,0.8166044852994289,-1.3844440853281497,0.9193461889471468,0.20805010076527927,-0.7499062617172854,-0.08409252576843153,-0.08409252576843153,-0.2878070646399319,-0.06110420291273363,-0.14537625235035823,0.1249843769528809,-2.795174627727886,-2.795174627727886,-2.079566533867987,4.29434810612728,1.4572997642022583
AR,2017-11-01,L. cyanellus,2.897973937887045,1.171735505147559,-0.45072802377816534,1.0640118507203864,1.0640118507203864,-0.7968911728778011,0.4999963235564444,-0.1358007925828076,-0.866608892740484,-0.6931545334740891,-0.6931545334740891,-0.14316750808521647,-0.06110420291273363,-0.14537625235035823,0.1249843769528809,-2.795174627727886,-2.795174627727886,-2.079566533867987,4.29434810612728,1.4572997642022583
AR,2017-11-01,L. macrochirus,2.897973937887045,1.171735505147559,1.1319694825991713,1.0640118507203864,1.0640118507203864,0.12395902058294095,0.4999963235564444,-0.1358007925828076,-0.3999885717550927,-0.6931545334740891,-0.6931545334740891,-0.916319302894571,-0.06110420291273363,-0.14537625235035823,0.1249843769528809,-2.795174627727886,-2.795174627727886,-2.079566533867987,4.29434810612728,1.4572997642022583
AR,2017-11-01,L. megalotis,2.897973937887045,1.171735505147559,1.0448400350816966,1.0640118507203864,1.0640118507203864,0.043863797222529345,0.4999963235564444,-0.1358007925828076,0.5356951537445092,-0.6931545334740891,-0.6931545334740891,-0.6241900227209681,-0.06110420291273363,-0.14537625235035823,0.1249843769528809,-2.795174627727886,-2.795174627727886,-2.079566533867987,4.29434810612728,1.4572997642022583
AR,2017-11-01,L. oculatus,2.262803396041221,2.5613878620593975,2.5613878620593975,0.8166044852994289,0.8166044852994289,0.9405492452070849,0.9193461889471468,0.9990009990009991,0.9990009990009991,-0.08409252576843153,-0.08409252576843153,-9.99500333083388e-4,-0.06110420291273363,-0.14537625235035823,0.1249843769528809,-2.795174627727886,-2.795174627727886,-2.079566533867987,4.29434810612728,1.4572997642022583
