site_code,collection_date,length_mu,d100_mu,biomass_mu,shannon,q_2w_max,depth_mx,canopy_density_mid,conductivity,do_mg_l,nh4_n,no3n,ortho_p,year,month,day,qtr,annualrain,flsh,lfpp
AR,2017-09-16,49.95703846153846,4.928571428571429,0.032818628071428574,4.75863719287109,16.9,0.324375,0.783783783875,913.5,5.25759589575,0.0875,2.3591375,1.43625,2017,9,16,Q3,68.5326087,1.05,7.546559343
AR,2017-11-01,66.45523636363636,14.571428571428571,0.4112849477142857,4.85909962569213,3.65,0.2725,0.70945945975,1060.25,7.696032972,0.07,11.73375,2.775,2017,11,1,Q4,68.5326087,1.05,7.546559343
AR,2017-12-07,59.28147142857143,7.5,0.07461726164285715,4.021505162339264,4.07,0.27,0.79054054075,784.7750000000001,8.23275921925,0.105,14.245,2.885,2017,12,7,Q4,68.5326087,1.05,7.546559343
AR,2018-02-03,47.11504938271605,9.071428571428571,0.030592890857142858,3.390740411334612,8.04,0.16,0.71621621625,763.25,8.734759407750001,0.35,9.706,1.2825,2018,2,3,Q1,68.5326087,1.05,7.546559343
AR,2018-04-07,57.17712280701755,5.142857142857143,0.028837398214285714,1.8573088521104577,16.1,0.18,0.78378378375,1288.25,5.8965869067500005,0.12666666666666668,8.588666666666667,3.38,2018,4,7,Q2,68.5326087,1.05,7.546559343
AR,2018-05-12,67.86852688172043,9.571428571428571,0.13084402364285713,3.4744486402319144,3.23,0.1875,0.78378378375,1247,4.496322614,0.0775,4.43225,1.6275,2018,5,12,Q2,68.5326087,1.05,7.546559343
AR,2018-06-08,68.53262,5.071428571428571,0.5724239475,5.7534411142382575,2.42,0.11,0.85810810825,1780.25,6.7056642835,0.0225,3.766,2.665,2018,6,8,Q2,68.5326087,1.05,7.546559343
AR,2018-07-01,47.91328571428571,0.6428571428571429,0.0022123563571428573,4.166436205292808,2080,0.205,0.87162162175,1671.75,4.2489777515,0.18,3.0275,1.405,2018,7,1,Q3,68.5326087,1.05,7.546559343
AR,2018-08-01,107.2028,0.2857142857142857,0.009106213714285714,4,2.1,0.47,0,1814.75,5.183411877,0.205,3.0475,1.55,2018,8,1,Q3,68.5326087,1.05,7.546559343
AR,2018-09-11,71.87218181818182,7.642857142857143,0.7611159463571429,6.622382527248003,4.45,0.44,0.614864865,1450.05,6.0920552282500005,0.19,6.4925,1.6124999999999998,2018,9,11,Q3,68.5326087,1.05,7.546559343
AR,2020-01-17,58.752941176470586,4.3076923076923075,0.039064140153846155,6.144744922504806,0.16,0.2725,0.777027027027027,1318,6.254416615575,0.08799,11.1645,1.86575,2020,1,17,Q1,68.5326087,1.05,7.546559343
AR,2020-05-20,79.28729281767956,12.692307692307692,0.288776565,3.592838504628004,122,0.37825,0.9054054054054056,700.75,6.254416615575,0.08355499999999999,7.527749999999999,2.2235,2020,5,20,Q2,68.5326087,1.05,7.546559343
AR,2020-09-20,57.16379310344828,4.538461538461538,0.06809550615384616,6.480148111032999,20.8,0.19,0.891891891891892,368.5,6.254416615575,0.1876,0.68035,1.051375,2020,9,20,Q3,68.5326087,1.05,7.546559343
AR,2020-11-03,58.9953488372093,10.461538461538462,0.11362826669230769,5.175399384010028,1.75,0.265,0.8581081081081082,955,6.254416615575,0.102815,6.0715,2.0125,2020,11,3,Q4,68.5326087,1.05,7.546559343
EM,2017-10-10,56.004000000000005,2.3333333333333335,0.04061414957142857,5.365290907706528,33.5,0.4125,0,366.575,5.62412912975,0.10857142857142855,0.3929857142857142,0.3514285714285714,2017,10,10,Q4,95.02463768,0.79,0
EM,2017-11-03,69.49104743083004,7.666666666666667,0.09359438657142857,4.621796733014487,3.55,0.6125,0,437.7,4.5353221535,0.0975,0.604625,0.0675,2017,11,3,Q4,95.02463768,0.79,0
EM,2017-12-02,55.5064708994709,9.476190476190476,0.048811843333333334,3.5798684828256397,0.1,0.56,0.00675675675,588.25,6.57167406175,0.0925,0.3794,0.0375,2017,12,2,Q4,95.02463768,0.79,0
